0    -1.62340301791686e-15    -2.41126563160776e-16    1011.51811053852    520182.482465028    31.8043725065991    721.236772818072
0.1    -nan    -nan    -nan    -nan    0    0
0.2    -nan    -nan    -nan    -nan    0    0
0.3    -nan    -nan    -nan    -nan    0    0
0.4    -nan    -nan    -nan    -nan    0    0
0.5    -nan    -nan    -nan    -nan    0    0
0.6    -nan    -nan    -nan    -nan    0    0
0.7    -nan    -nan    -nan    -nan    0    0
0.8    -nan    -nan    -nan    -nan    0    0
0.900000000000001    -nan    -nan    -nan    -nan    0    0
1    -nan    -nan    -nan    -nan    0    0
1.1    -nan    -nan    -nan    -nan    0    0
1.2    -nan    -nan    -nan    -nan    0    0
1.3    -nan    -nan    -nan    -nan    0    0
1.4    -nan    -nan    -nan    -nan    0    0
1.5    -nan    -nan    -nan    -nan    0    0
1.6    -nan    -nan    -nan    -nan    0    0
1.7    -nan    -nan    -nan    -nan    0    0
1.8    -nan    -nan    -nan    -nan    0    0
1.9    -nan    -nan    -nan    -nan    0    0
2    -nan    -nan    -nan    -nan    0    0
2.1    -nan    -nan    -nan    -nan    0    0
2.2    -nan    -nan    -nan    -nan    0    0
2.29999999999999    -nan    -nan    -nan    -nan    0    0
2.39999999999999    -nan    -nan    -nan    -nan    0    0
2.49999999999999    -nan    -nan    -nan    -nan    0    0
2.59999999999999    -nan    -nan    -nan    -nan    0    0
2.69999999999999    -nan    -nan    -nan    -nan    0    0
2.79999999999998    -nan    -nan    -nan    -nan    0    0
2.89999999999998    -nan    -nan    -nan    -nan    0    0
2.99999999999998    -nan    -nan    -nan    -nan    0    0
3.09999999999998    -nan    -nan    -nan    -nan    0    0
3.19999999999998    -nan    -nan    -nan    -nan    0    0
3.29999999999997    -nan    -nan    -nan    -nan    0    0
3.39999999999997    -nan    -nan    -nan    -nan    0    0
3.49999999999997    -nan    -nan    -nan    -nan    0    0
3.59999999999997    -nan    -nan    -nan    -nan    0    0
3.69999999999997    -nan    -nan    -nan    -nan    0    0
3.79999999999996    -nan    -nan    -nan    -nan    0    0
3.89999999999996    -nan    -nan    -nan    -nan    0    0
3.99999999999996    -nan    -nan    -nan    -nan    0    0
4.09999999999996    -nan    -nan    -nan    -nan    0    0
4.19999999999995    -nan    -nan    -nan    -nan    0    0
4.29999999999995    -nan    -nan    -nan    -nan    0    0
4.39999999999995    -nan    -nan    -nan    -nan    0    0
4.49999999999995    -nan    -nan    -nan    -nan    0    0
4.59999999999995    -nan    -nan    -nan    -nan    0    0
4.69999999999994    -nan    -nan    -nan    -nan    0    0
4.79999999999994    -nan    -nan    -nan    -nan    0    0
4.89999999999994    -nan    -nan    -nan    -nan    0    0
4.99999999999994    -nan    -nan    -nan    -nan    0    0
5.09999999999994    -nan    -nan    -nan    -nan    0    0
5.19999999999993    -nan    -nan    -nan    -nan    0    0
5.29999999999993    -nan    -nan    -nan    -nan    0    0
5.39999999999993    -nan    -nan    -nan    -nan    0    0
5.49999999999993    -nan    -nan    -nan    -nan    0    0
5.59999999999993    -nan    -nan    -nan    -nan    0    0
5.69999999999992    -nan    -nan    -nan    -nan    0    0
5.79999999999992    -nan    -nan    -nan    -nan    0    0
5.89999999999992    -nan    -nan    -nan    -nan    0    0
5.99999999999992    -nan    -nan    -nan    -nan    0    0
6.09999999999991    -nan    -nan    -nan    -nan    0    0
6.19999999999991    -nan    -nan    -nan    -nan    0    0
