0 0 0
1 -nan -nan
2 -nan -nan
2.99999999999998 -nan -nan
3.99999999999996 -nan -nan
4.99999999999994 -nan -nan
5.99999999999992 -nan -nan
6.9999999999999 -nan -nan
7.99999999999987 -nan -nan
8.99999999999985 -nan -nan
9.99999999999983 -nan -nan
10.9999999999998 -nan -nan
11.9999999999998 -nan -nan
12.9999999999998 -nan -nan
13.9999999999997 -nan -nan
14.9999999999997 -nan -nan
15.9999999999997 -nan -nan
16.9999999999999 -nan -nan
18 -nan -nan
19.0000000000002 -nan -nan
20.0000000000003 -nan -nan
21.0000000000005 -nan -nan
22.0000000000006 -nan -nan
23.0000000000008 -nan -nan
24.000000000001 -nan -nan
25.0000000000011 -nan -nan
26.0000000000013 -nan -nan
27.0000000000014 -nan -nan
28.0000000000016 -nan -nan
29.0000000000017 -nan -nan
30.0000000000019 -nan -nan
31.000000000002 -nan -nan
32.0000000000022 -nan -nan
33.000000000002 -nan -nan
34.0000000000018 -nan -nan
35.0000000000016 -nan -nan
36.0000000000014 -nan -nan
37.0000000000012 -nan -nan
38.000000000001 -nan -nan
39.0000000000008 -nan -nan
40.0000000000006 -nan -nan
41.0000000000004 -nan -nan
42.0000000000002 -nan -nan
43 -nan -nan
43.9999999999998 -nan -nan
44.9999999999996 -nan -nan
45.9999999999994 -nan -nan
46.9999999999992 -nan -nan
47.999999999999 -nan -nan
48.9999999999988 -nan -nan
49.9999999999986 -nan -nan
50.9999999999984 -nan -nan
51.9999999999982 -nan -nan
52.999999999998 -nan -nan
53.9999999999978 -nan -nan
54.9999999999976 -nan -nan
55.9999999999974 -nan -nan
56.9999999999972 -nan -nan
57.999999999997 -nan -nan
58.9999999999968 -nan -nan
59.9999999999966 -nan -nan
60.9999999999964 -nan -nan
61.9999999999962 -nan -nan
62.999999999996 -nan -nan
63.9999999999958 -nan -nan
64.9999999999963 -nan -nan
65.9999999999969 -nan -nan
66.9999999999974 -nan -nan
67.9999999999979 -nan -nan
68.9999999999984 -nan -nan
69.9999999999989 -nan -nan
70.9999999999994 -nan -nan
71.9999999999999 -nan -nan
73.0000000000004 -nan -nan
74.000000000001 -nan -nan
75.0000000000015 -nan -nan
76.000000000002 -nan -nan
77.0000000000025 -nan -nan
78.000000000003 -nan -nan
79.0000000000035 -nan -nan
80.000000000004 -nan -nan
81.0000000000045 -nan -nan
82.000000000005 -nan -nan
83.0000000000056 -nan -nan
84.0000000000061 -nan -nan
85.0000000000066 -nan -nan
86.0000000000071 -nan -nan
87.0000000000076 -nan -nan
88.0000000000081 -nan -nan
89.0000000000086 -nan -nan
90.0000000000091 -nan -nan
91.0000000000096 -nan -nan
92.0000000000102 -nan -nan
93.0000000000107 -nan -nan
94.0000000000112 -nan -nan
95.0000000000117 -nan -nan
96.0000000000122 -nan -nan
97.0000000000127 -nan -nan
98.0000000000132 -nan -nan
99.0000000000137 -nan -nan
100.000000000014 -nan -nan
101.000000000015 -nan -nan
102.000000000015 -nan -nan
103.000000000016 -nan -nan
104.000000000016 -nan -nan
105.000000000017 -nan -nan
106.000000000017 -nan -nan
107.000000000018 -nan -nan
108.000000000018 -nan -nan
109.000000000019 -nan -nan
110.000000000019 -nan -nan
111.00000000002 -nan -nan
112.00000000002 -nan -nan
113.000000000021 -nan -nan
114.000000000021 -nan -nan
115.000000000022 -nan -nan
116.000000000022 -nan -nan
117.000000000023 -nan -nan
118.000000000023 -nan -nan
119.000000000024 -nan -nan
120.000000000024 -nan -nan
121.000000000025 -nan -nan
122.000000000026 -nan -nan
123.000000000026 -nan -nan
